"Inv_ID","ITM_CODE","IC1","IC2","IC3","IC4","Inv_TITLE","Pack_Size","Pack_Unit","Pack_Count","CA_Code","Rt","INV_Page","In_ID","CA_Code1","CA_Code2","Prd_Code","Prd_avg","SCA_Code","UInv_TITLE"
"1","100000000","1","0","0","0","","","","","","","","0","","","","","","  "
"2","101000000","1","1","0","0","Stock","","","","","","","0","","","","","","سٹاک"
"1121","200000000","2","0","0","0","Raw Materials","","","","","","","0","","","","","","را  ميٹريلز  "
"1122","201000000","2","1","0","0","Purchase","","","","","","","0","","","","","","خريد"
"1123","201010000","2","1","1","0","Different Purchases","","","","","","","0","","","","","","مختلف  خريد  "
"1154","300000000","3","0","0","0","Finished Goods","","","","","","","0","","","","","","فائنل  گڈز  "
"1155","301000000","3","1","0","0","Finished Goods Rice","","","","","","","0","","","","","","فائنل  گڈز  رائس  "
"1156","301010000","3","1","1","0","Mix","","","","","","","0","","","","","","مکس"
"1206","201010001","2","1","1","1","Wheat Purchase","100","Kg","1","825","40","","0","","","","52.5",""," گندم  خريد"
"1216","401000000","4","1","0","0","Packing Material","","","","","","","0","","","","","","پيکنگ  ميٹريل"
"1217","401010000","4","1","1","0","Packing Material of Plastic Bags and Bardana","","","","","","","0","","","","","","پيکنگ  ميٹريل  آف   پلاسٹک  بورا  اينڈ  باردانہ  "
"1218","401010001","4","1","1","1","Purchase and Sale of Plastic Bags","1","No","1","842","1","","0","","","","","","خريد  اينڈ  فروختگى  آف   پلاسٹک  بورا  "
"1219","401010002","4","1","1","2","Purchase and Sale of Bardana","1","No","1","842","1","","0","","","","","","خريد  اينڈ  فروختگى  آف  باردانہ  "
"1301","201010002","2","1","1","2","Till Purchase","100","Kg","1","841","40","","0","","","","52.5","","تل  خريد  "
"1302","401010003","4","1","1","3","Plastic Bags Purchase A/c","1","No","1","842","1","","0","","","","",""," پلاسٹک  بورا  خريد  اے /سى  "
