"E","U"
"Dhobi","دھوبى"
"Dholka","دھولکا"
"Dhoor","دھوڑ"
"Dhowi","دھوئى"
"Dhudhi","ڈھڈى"
"Dhuein","دھوئيں"
"Dhup","دھپ"
"Died","فوت ہوا"
"Diesel","ڈيزل"
"Diff","فرق"
"Difference","فرق"
"Different","مختلف"
"DIG","ڈىآئى جى"
"Digranwan","ڈگرانواں"
"Dik","ڈيرہ اسماعيل خان"
"Dil","دل"
"Dilbar","دلبر"
"Dildar","دلدار"
"Dilshad","دلشاد"
"Din","دين"
"Dinga","دينگا"
"Dipal","دیپال"
"Direct","ڈائريکٹ"
"Director","ڈائريکٹر"
"Directors","ڈائريکٹرز"
"Dirkhana","دھرکھانہ"
"Discount","ڈسکاوئنٹ"
"disk","ڈسک"
"Dismissed","برخاست"
"Dispenser","ڈسپنسر"
"Disposal","ڈسپوزل"
"Distagir","دستگير"
"Disterly","ڈسٹلرى"
"District","ضلع"
"Distt","ضلع"
"Distt.","ڈسٹرکٹ"
"Dita","دتہ"
"Ditta","دتہ"
"Diwaya","ڈيوايا"
"Diyal","ديال"
"Doctor","ڈاکٹر"
"Dogar","ڈوگر"
"Doka","دوکہ"
"Dolat","دولت"
"Doloana","دولوآنہ"
"Doluana","دولوآنہ"
"Donation","ڈونيشن"
"Donations","ڈونيشنز"
"Dosa","دوسہ"
"Dost","دوست"
"Douliat","دولت"
"Doust","دوست"
"Dowi","ڈوھى"
"DP","ڈى پى"
"DPO","ڈى پى او"
"Dr","ڈاکٹر"
"Dr.","ڈاکٹر"
"Drawing","ڈرائنگ"
"Draz","دراز"
"Drill","ڈرل"
"Driver","ڈرائيور"
"Droping","ڈراپنگ"
"Dropping","ڈراپنگ"
"DSP","ڈى ايس پى"
"DSP/Ahmadpur","ڈی ايس پى احمدپور"
"DSP/Chenab","ڈی ايس پى چناب"
"DSP/Chiniot","ڈی ايس پى چنيوٹ"
"DSP/CIA","ڈی ايس پى سى آئى اے"
"DSP/City","ڈی ايس پى سى سٹى"
"DSP/HQ","ڈی ايس پى ہیڈ کواٹر"
"DSP/Hqrs","ڈی ايس پى ہیڈ کواٹر"
"DSP/Investigation","ڈی ايس پى انوسٹى گيشن"
"DSP/Lalian","ڈی ايس پى لالياں"
"DSP/Legal","ڈی ايس پى ليگل"
"DSP/Sadar","ڈی ايس پى صدر"
"DSP/Shorkot","ڈی ايس پى شورکوٹ"
"Dubi","دوبئي"
"Duck","ڈک"
"Duckt","ڈکٹ"
"Dugri","ڈگرى"
"Dul","دل"
"Dullanwana","ڈلانوالہ"
"Duty","ڈيوٹى"
"e","اى"
"E/L","رخصت کلاں"
"Earned","رخصت اتفاقيہ"
"East","شرقى"
"Eastren","ايسٹرن"
"easy","ایزی"
"Ebadat","عبادت"
"Education","ايجوکيشن"
"Eesay","عيسائى"
"Egent","ايجنٹ"
"Ehsan","احسان"
"Eid","عيد"
"Eidgah","عيدگاہ"
"Eisa","عيسٰى"
"Ejaz","اعجاز"
"Elahi","الٰہى"
"Electric","اليکٹرک"
"Electrict","اليکٹرک"
"Electronics","اليکٹرونکس"
"Elehi","الٰى"
"Elite","ايليٹ"
"EM","اى ايم"
"Emaan","ایما ن"
"Embriobary","ايمبراڈرى"
"Employees","ايمپلائيز"
"End","اينڈ"
"Eng","انجينئرنگ"
"Engenring","انجينئرنگ"
"Engineering","انجينئرنگ"
"Enginering","انجينئرنگ"
"Enginring","انجينئرنگ"
"English","انگلش"
"Enter","انٹر"
"Enterpises","انٹرپرائزنگ"
"Enterprises","انٹرپرائز"
"Enterprizes","انٹرپرائزز"
"Entertainment","انٹرٹينمنٹ"
"Entertainments","انٹرٹينمنٹ"
"Entrprises","انٹرپرائزز"
"Entry","انٹری"
"Equipment","ايکوپمنٹ"
"Equipments","ايکوپمنٹس"
"Equity","ايکويٹى"
"Eraser","ربڑ"
"Escort","اسکورٹ"
"Estate","ايسٹيٹ"
"Etc","وغيرہ"
"Ex","سابقہ"
"Exchange","ايکسچينج"
"Excise","ايکسائز"
"Exp","خرچہ"
"Exp.","خرچہ"
"Expences","احراجات"
"Expencess","احراجات"
"Expense","احراجات"
"Expenses","احراجات"
"Explosive","ايکس پلوزو"
"Export","ايکسپورٹس"
"Exporters","ايکسپورٹس"
"Exports","ايکسپورٹس"
"Exports,","ايکسپورٹس"
"Extr","اضافي"
"F","ايف"
"Fabrics","فيبرکس"
"Fabrics,","فيبرکس"
"Factory","فيکٹرى"
"Factory,","فيکٹرى"
"Fahed","فہد"
"Fahim","فہيم"
"Fair","فيئر"
"Faisal","فيصل"
"Faisalabad","فيصل آباد"
"Faisalabad.","فيصل آباد"
"Faisalabd","فيصل آباد"
"Faislabad","فيصل آباد"
"Faiz","فيض"
"Faiza","فيضاں"
"Faizaullah","فيض اللہ"
"Fakhar","فخر"
"Fakhet","بخت"
"Falak","فلک"
"Family","فيملى"
"Fan","فين"
"Faqeer","فقير"
"Faqir","فقير"
"Faqirwali","فقير والى"
"Faraz","فراز"
"Fardaus","فردوس"
"Fardos","فردوس"
"Fardous","فردوس"
"Fareed","فريد"
"Farhan","فرحان"
"Farid","فريد"
"Faridika","فريدکا"
"Farm","فارم"
"Farooq","فاروق"
"Farooqabad","فاروق آباد"
"Farooqi","فاروقى"
"Farooque","فاروق"
"Farooz","فيروز"
"Farrukh","فرخ"
"Farukh","فرخ"
"Faryad","فرياد"
"Farzand","فرزند"
"Fast","فاسٹ"
"Fatah","فتح"
"Fateh","فتح"
"Fathers","باپ"
"Fatima","فاطمہ"
"Fatma","فاطمہ"
"Fauji","فوجى"
"Fax","فيکس"
"Fayaz","فياض"
"Faysal","فيصل"
"Fayyaz","فياض"
"Fazal","فضل"
"Fazil","فاضل"
"FBD","فيصل آباد"
"FDA","ايف ڈى اے"
"FDA,","ايف ڈى اے"
"Feda","فدا"
"Fedral","فيڈرل"
"Fee","فيس"
"Feeds","فيڈز"
"Fees","فيس"
"Feeza","فيضاں"
"Feezan","فيضان"
"Ferooz","فيروز"
"Feroz","فيروز"
"Feroze","فيروز"
"Ferozepur","فيروزپور"
"Ferozpur","فيروز پور"
"Ferozwatvana","فيروز وٹواں"
"Feteh","فتح"
"FIA","ايف آئى اے"
"Fiaz","فياض"
"Fiber","فائبر"
"Fibers","فائبرز"
"Fida","فدا"
"Field","فيلڈ"
"Filling","فلنگ"
"Filter","فلٹر"
"Finances","فنانس"
"Financial","فنانشل"
"Finda","فدا"
"Fine","فائن"
"Finger","فنگر"
"Finished","فائنل"
"Finishing","فنشنگ"
"FIR","مقدمہ"
"Firdaus","فردوس"
"First","اول"
"Fixed","فکسڈ"
"Fixture","فکسچر"
"Fixtures","فکسچرز"
"Fizan","فيضاں"
"Floor","فلور"
"Flour","فلور"
