"TR_No","SL","Item","P","Q","R","W","Amount","VType","Account_Party","Control_Code","Narration","AC_Party2","GatePassNo","GatePassDt","Veh_No","Spindles","Frame","E_S_D","Item_Spec","Entry_DT","UNarration","DNarration","Tare_W","Kat_W","Org_W","Bill_PB","Tar_R","Invt_cat","Tax_am"
"7107","7623","1","","","","","1000","102","355","5","Cash Paid","0","","","","0","0","0","0","6/2/2023 9:34:35 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7108","7624","1","","","","","25000","102","873","5","Transfer To Easy Paisa","0","","","","0","0","0","0","6/5/2023 11:48:53 AM","ٹرانسفر  ٹو  ایزی  پیسہ  ","","","","","1","0","0","False"
"7109","7625","1","","","","","48000","101","873","5","Cash Received","0","","","","0","0","0","0","6/19/2023 12:29:20 PM","کيش  وصول  ","","","","","1","0","0","False"
"7110","7626","1","","","","","3000","102","355","5","Cash Paid","0","","","","0","0","0","0","6/26/2023 4:54:56 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7111","7627","1","","","","","5000","102","888","5","Cash Paid","0","","","","0","0","0","0","6/26/2023 4:55:51 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7112","7628","1","","","","","1800","102","889","5","Cash Paid","0","","","","0","0","0","0","6/26/2023 4:56:13 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7113","7629","1","","","","","2000","102","888","5","Cash Paid","0","","","","0","0","0","0","6/26/2023 4:56:44 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7114","7630","1","","","","","2270","101","355","5","Bill","0","","","","0","0","0","0","7/2/2023 12:03:08 PM","بل  ","","","","","1","0","0","False"
"7115","7631","1","","","","","53000","102","867","5","Cash Paid Mian Aftab Car","0","","","","0","0","0","0","7/2/2023 12:03:55 PM","کيش  پيڈ  مياں   آفتاب  کار  ","","","","","1","0","0","False"
"7116","7632","1","","","","","52473","101","867","5","Viagnor Instalment Payment","0","","","","0","0","0","0","7/2/2023 12:06:09 PM","ویگنار  قسط  پے منٹ  ","","","","","1","0","0","False"
"7119","7635","1","","","","","200000","101","843","5","Cash","0","","","","0","0","0","0","7/10/2023 2:00:13 PM","کيش  ","","","","","1","0","0","False"
"7120","7636","1","","","","","25000","102","873","5","Cash","0","","","","0","0","0","0","7/13/2023 11:37:48 AM","کيش  ","","","","","1","0","0","False"
"7121","7637","1","","","","","23","101","867","5","A T M Exp","0","","","","0","0","0","0","7/22/2023 1:40:54 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7122","7638","1","","","","","500000","102","867","5","Zeshan D I K","0","","","","0","0","0","0","7/24/2023 12:59:20 PM","ذيشان  ڈى  ائى  کے  ","","","","","1","0","0","False"
"7122","7639","1","","","","","500000","102","867","5","Zeshan D I K","0","","","","0","0","0","0","7/24/2023 12:59:33 PM","ذيشان  ڈى  ائى  کے  ","","","","","1","0","0","False"
"7123","7640","1","","","","","30","101","867","5","Statment Exp","0","","","","0","0","0","0","7/25/2023 11:33:07 AM","سٹیٹمنٹ  خرچہ  ","","","","","1","0","0","False"
"7123","7641","1","","","","","5","101","867","5","Fedral Tex","0","","","","0","0","0","0","7/25/2023 11:33:16 AM","فيڈرل  ٹيکس  ","","","","","1","0","0","False"
"6977","7480","1","","","","","13050","102","843","5","Wheat P L S","0","","","","0","0","0","0","12/30/2022 11:57:43 AM","گندم  پى  ايل  ايس  ","","","","","1","0","0","False"
"6978","7481","1","","","","","6000","101","853","5","Cash P L S","0","","","","0","0","0","0","12/30/2022 11:59:34 AM","کيش  پى  ايل  ايس  ","","","","","1","0","0","False"
"6979","7482","1","","","","","6000","102","853","5","P L S Cash Paid","0","","","","0","0","0","0","12/30/2022 12:00:53 PM","پى  ايل  ايس  کيش  پيڈ  ","","","","","1","0","0","False"
"6980","7483","1","","","","","5000","101","867","5","A T M Cash","0","","","","0","0","0","0","12/30/2022 4:31:16 PM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6981","7484","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","12/30/2022 4:33:15 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6982","7485","1","","","","","20000","101","867","5","A T M Cash","0","","","","0","0","0","0","1/2/2023 12:40:23 PM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6982","7486","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","1/2/2023 12:40:45 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6983","7487","1","","","","","29000","102","884","5","Easy paisa Mushtaq Kot Shakir","0","","","","0","0","0","0","1/2/2023 12:42:44 PM","ایزی  پیسہ  مشتاق  کوٹ  شآکر  ","","","","","1","0","0","False"
"6983","7488","1","","","","","26000","102","884","5","Easy paisa Mushtaq Kot Shakir","0","","","","0","0","0","0","1/2/2023 12:43:21 PM","ایزی  پیسہ  مشتاق  کوٹ  شآکر  ","","","","","1","0","0","False"
"6984","7489","1","","","","","55000","101","884","5","Cheque Paid To Sufi Flour Mills For Razaq Bagh","0","","","","0","0","0","0","1/3/2023 2:08:40 PM","چيک  پيڈ  ٹو  صوفى  فلور  ملز  برائے  رزاق  باغ  ","","","","","1","0","0","False"
