"TR_No","TR_Date","V_No","Cheque_No","Invoice_Date","Remarks","Invoice_No","MF","ChequeNo"
"7094","5/16/2023 12:00:00 AM","","","","","0","0",""
"7095","5/16/2023 12:00:00 AM","","","","","0","0",""
"7096","5/9/2023 12:00:00 AM","","","","","0","0",""
"7097","5/18/2023 12:00:00 AM","","","","","0","0",""
"7098","5/18/2023 12:00:00 AM","","","","","0","0",""
"7099","6/1/2023 12:00:00 AM","","","","","0","0",""
"7100","6/3/2023 12:00:00 AM","","","","","0","0",""
"7101","6/5/2023 12:00:00 AM","","","","","0","0",""
"7102","6/1/2023 12:00:00 AM","","","","","0","0",""
"7103","6/1/2023 12:00:00 AM","","","","","0","0",""
"7104","6/1/2023 12:00:00 AM","","","","","0","0",""
"7105","6/1/2023 12:00:00 AM","","","","","0","0",""
"7106","6/1/2023 12:00:00 AM","","816454436","6/1/2023 12:00:00 AM","","0","0",""
"7107","6/2/2023 12:00:00 AM","","","","","0","0",""
"7108","6/4/2023 12:00:00 AM","","","","","0","0",""
"7109","6/19/2023 12:00:00 AM","","1813282769","6/19/2023 12:00:00 AM","","0","0",""
"7110","6/26/2023 12:00:00 AM","","","","","0","0",""
"7111","6/26/2023 12:00:00 AM","","","","","0","0",""
"7112","6/26/2023 12:00:00 AM","","","","","0","0",""
"7113","6/26/2023 12:00:00 AM","","","","","0","0",""
"7114","7/2/2023 12:00:00 AM","","","","","0","0",""
"7115","7/4/2023 12:00:00 AM","","","","","0","0",""
"7116","7/5/2023 12:00:00 AM","","","","","0","0",""
"7117","7/3/2023 12:00:00 AM","","","","","0","0",""
"7118","7/5/2023 12:00:00 AM","","","","","0","0",""
"7119","7/10/2023 12:00:00 AM","","","","","0","0",""
"7120","7/13/2023 12:00:00 AM","","","","","0","0",""
"7121","4/12/2023 12:00:00 AM","","","","","0","0",""
"7122","7/24/2023 12:00:00 AM","","","","","0","0",""
"7123","7/5/2023 12:00:00 AM","","","","","0","0",""
"7124","7/25/2023 12:00:00 AM","","40790843","7/25/2023 12:00:00 AM","","0","0",""
"7125","7/26/2023 12:00:00 AM","","","","","0","0",""
"7126","7/26/2023 12:00:00 AM","","","","","0","0",""
"7127","7/27/2023 12:00:00 AM","","40790844","7/27/2023 12:00:00 AM","","0","0",""
"7128","7/27/2023 12:00:00 AM","","","","","0","0",""
"7129","7/28/2023 12:00:00 AM","","","","","0","0",""
"7130","7/28/2023 12:00:00 AM","","","","","0","0",""
"7131","8/2/2023 12:00:00 AM","","","","","0","0",""
"7132","8/2/2023 12:00:00 AM","","","","","0","0",""
"7133","8/2/2023 12:00:00 AM","","","","","0","0",""
"7134","8/2/2023 12:00:00 AM","","","","","0","0",""
"7135","8/6/2023 12:00:00 AM","","","","","0","0",""
"7136","8/2/2023 12:00:00 AM","","","","","0","0",""
"7137","8/9/2023 12:00:00 AM","","","","","0","0",""
"7138","8/11/2023 12:00:00 AM","","","","","0","0",""
"7139","8/16/2023 12:00:00 AM","","81645437","8/16/2023 12:00:00 AM","","0","0",""
"7140","8/16/2023 12:00:00 AM","","","","","0","0",""
"7141","8/17/2023 12:00:00 AM","","1813282770","8/17/2023 12:00:00 AM","","0","0",""
"7142","7/6/2023 12:00:00 AM","","","","","0","0",""
"7143","6/14/2023 12:00:00 AM","","","","","0","0",""
"7144","8/19/2023 12:00:00 AM","","","","","0","0",""
"7145","8/22/2023 12:00:00 AM","","","","","0","0",""
"7146","8/21/2023 12:00:00 AM","","","","","0","0",""
"7147","8/24/2023 12:00:00 AM","","","","","0","0",""
"7148","8/28/2023 12:00:00 AM","","","","","0","0",""
"7149","9/1/2023 12:00:00 AM","","","","","0","0",""
"7150","9/5/2023 12:00:00 AM","","","","","0","0",""
"7151","9/5/2023 12:00:00 AM","","","","","0","0",""
"7152","8/28/2023 12:00:00 AM","","","","","0","0",""
"7153","9/3/2023 12:00:00 AM","","","","","0","0",""
"7154","9/5/2023 12:00:00 AM","","","","","0","0",""
"7155","9/12/2023 12:00:00 AM","","1813282771","9/12/2023 12:00:00 AM","","0","0",""
"7156","9/15/2023 12:00:00 AM","","","","","0","0",""
"7157","9/18/2023 12:00:00 AM","","1813282772","","","0","0",""
"7158","9/25/2023 12:00:00 AM","","","","","0","0",""
"7159","9/30/2023 12:00:00 AM","","","","","0","0",""
"7160","10/5/2023 12:00:00 AM","","","","","0","0",""
"7161","10/1/2023 12:00:00 AM","","","","","0","0",""
"7162","10/3/2023 12:00:00 AM","","","","","0","0",""
"7163","10/1/2023 12:00:00 AM","","","","","0","0",""
"7164","10/1/2023 12:00:00 AM","","","","","0","0",""
"7165","10/6/2023 12:00:00 AM","","","","","0","0",""
"7166","10/16/2023 12:00:00 AM","","","","","0","0",""
"7167","10/16/2023 12:00:00 AM","","","","","0","0",""
"7168","10/16/2023 12:00:00 AM","","","","","0","0",""
"7169","10/17/2023 12:00:00 AM","","1813282773","10/17/2023 12:00:00 AM","","0","0",""
"7170","10/18/2023 12:00:00 AM","","","","","0","0",""
"7171","10/25/2023 12:00:00 AM","","","","","0","0",""
"7172","5/1/2023 12:00:00 AM","","","","","0","0",""
"7173","10/26/2023 12:00:00 AM","","1813282774","10/26/2023 12:00:00 AM","","0","0",""
"7327","6/30/2024 12:00:00 AM","","","","","0","0",""
"7328","12/16/2023 12:00:00 AM","","","","","0","0",""
"7329","1/13/2024 12:00:00 AM","","","","","0","0",""
"7330","1/13/2024 12:00:00 AM","","","","","0","0",""
"7331","11/16/2023 12:00:00 AM","","","","","0","0",""
"7332","11/16/2023 12:00:00 AM","","","","","0","0",""
"7333","2/17/2024 12:00:00 AM","","","","","0","0",""
"7334","2/17/2024 12:00:00 AM","","","","","0","0",""
"7335","7/4/2024 12:00:00 AM","","00113151","7/4/2024 12:00:00 AM","","0","0",""
"7336","7/4/2024 12:00:00 AM","","00113230","7/4/2024 12:00:00 AM","","0","0",""
"7337","7/5/2024 12:00:00 AM","","","","","0","0",""
"7338","7/5/2024 12:00:00 AM","","","","","0","0",""
"7339","7/6/2024 12:00:00 AM","","","","","0","0",""
"7340","7/9/2024 12:00:00 AM","","34641801","7/10/2024 12:00:00 AM","","0","0",""
"7341","7/11/2024 12:00:00 AM","","87788562","7/11/2024 12:00:00 AM","","0","0",""
"7342","1/12/2010 12:00:00 AM","","","","","0","0",""
"7343","7/22/2024 12:00:00 AM","","1935577825","7/22/2024 12:00:00 AM","","0","0",""
"7344","7/29/2024 12:00:00 AM","","1935577826","7/29/2024 12:00:00 AM","","0","0",""
"7345","8/1/2024 12:00:00 AM","","","","","0","0",""
"7346","8/1/2024 12:00:00 AM","","","","","0","0",""
"7347","7/29/2024 12:00:00 AM","","","","","0","0",""
"7348","8/3/2024 12:00:00 AM","","","","","0","0",""
"7349","7/29/2024 12:00:00 AM","","","","","0","0",""
"7350","7/30/2024 12:00:00 AM","","","","","0","0",""
"7351","7/30/2024 12:00:00 AM","","","","","0","0",""
"7352","7/30/2024 12:00:00 AM","","","","","0","0",""
"7353","7/30/2024 12:00:00 AM","","","","","0","0",""
"7354","7/30/2024 12:00:00 AM","","","","","0","0",""
"7355","7/30/2024 12:00:00 AM","","","","","0","0",""
"7356","7/30/2024 12:00:00 AM","","","","","0","0",""
"7357","7/30/2024 12:00:00 AM","","","","","0","0",""
"7358","8/6/2024 12:00:00 AM","","","","","0","0",""
"7359","8/8/2024 12:00:00 AM","","","","","0","0",""
"7360","8/8/2024 12:00:00 AM","","87788563","8/8/2024 12:00:00 AM","","0","0",""
"7361","8/15/2024 12:00:00 AM","","1935577827","8/15/2024 12:00:00 AM","","0","0",""
"7362","8/29/2024 12:00:00 AM","","","","","0","0",""
"7363","8/29/2024 12:00:00 AM","","87788564","8/29/2024 12:00:00 AM","","0","0",""
"7364","8/30/2024 12:00:00 AM","","87788565","8/30/2024 12:00:00 AM","","0","0",""
"7365","8/30/2024 12:00:00 AM","","","","","0","0",""
"7366","9/3/2024 12:00:00 AM","","","","","0","0",""
"7367","9/1/2024 12:00:00 AM","","","","","0","0",""
"7368","9/1/2024 12:00:00 AM","","","","","0","0",""
"7369","9/2/2024 12:00:00 AM","","1935577828","9/2/2024 12:00:00 AM","","0","0",""
"7370","9/7/2024 12:00:00 AM","","","","","0","0",""
"7371","9/7/2024 12:00:00 AM","","","","","0","0",""
"7372","9/7/2024 12:00:00 AM","","","","","0","0",""
"7373","9/7/2024 12:00:00 AM","","","","","0","0",""
"7374","9/11/2024 12:00:00 AM","","","","","0","0",""
"7375","9/11/2024 12:00:00 AM","","87788566","9/11/2024 12:00:00 AM","","0","0",""
"7376","9/25/2024 12:00:00 AM","","","","","0","0",""
"7377","9/25/2024 12:00:00 AM","","87788567","9/25/2024 12:00:00 AM","","0","0",""
"7378","9/25/2024 12:00:00 AM","","","","","0","0",""
"7379","9/25/2024 12:00:00 AM","","1935577829","9/25/2024 12:00:00 AM","","0","0",""
"7380","10/1/2024 12:00:00 AM","","","","","0","0",""
"7381","10/1/2024 12:00:00 AM","","","","","0","0",""
"7382","10/8/2024 12:00:00 AM","","","","","0","0",""
"7383","10/7/2024 12:00:00 AM","","","","","0","0",""
"7384","9/28/2024 12:00:00 AM","","","","","0","0",""
"7385","9/28/2024 12:00:00 AM","","","","","0","0",""
"7386","10/8/2024 12:00:00 AM","","","","","0","0",""
"7387","10/9/2024 12:00:00 AM","","87788568","10/9/2024 12:00:00 AM","","0","0",""
"7388","10/11/2024 12:00:00 AM","","","","","0","0",""
"7389","10/12/2024 12:00:00 AM","","87788569","10/12/2024 12:00:00 AM","","0","0",""
"7390","10/12/2024 12:00:00 AM","","","","","0","0",""
"7391","10/13/2024 12:00:00 AM","","","","","0","0",""
"7392","10/14/2024 12:00:00 AM","","","","","0","0",""
"7393","10/15/2024 12:00:00 AM","","","","","0","0",""
"7394","10/15/2024 12:00:00 AM","","87788570","10/15/2024 12:00:00 AM","","0","0",""
"7395","10/16/2024 12:00:00 AM","","1935577830","10/16/2024 12:00:00 AM","","0","0",""
"7396","10/19/2024 12:00:00 AM","","","","","0","0",""
"7397","10/24/2024 12:00:00 AM","","","","","0","0",""
"7398","10/24/2024 12:00:00 AM","","8778871","10/24/2024 12:00:00 AM","","0","0",""
"7399","10/31/2024 12:00:00 AM","","","","","0","0",""
"7400","11/1/2024 12:00:00 AM","","","","","0","0",""
"7401","11/2/2024 12:00:00 AM","","","","","0","0",""
"7402","11/5/2024 12:00:00 AM","","","","","0","0",""
"7403","11/2/2024 12:00:00 AM","","","","","0","0",""
"6905","11/1/2022 12:00:00 AM","","","11/1/2022 12:00:00 AM","","0","0",""
"6906","11/1/2022 12:00:00 AM","","","","","0","0",""
"6907","11/3/2022 12:00:00 AM","","","","","0","0",""
"6908","10/31/2022 12:00:00 AM","","","","","0","0",""
"6909","10/31/2022 12:00:00 AM","","","","","0","0",""
"6910","11/1/2022 12:00:00 AM","","1813282764","11/1/2022 12:00:00 AM","","0","0",""
"6911","11/1/2022 12:00:00 AM","","","","","0","0",""
"6912","11/1/2022 12:00:00 AM","","","","","0","0",""
"6913","12/1/2022 12:00:00 AM","","","","","0","0",""
"6914","11/1/2022 12:00:00 AM","","","","","0","0",""
"6915","10/26/2022 12:00:00 AM","","","","","0","0",""
"6916","11/2/2022 12:00:00 AM","","","","","0","0",""
"6917","11/3/2022 12:00:00 AM","","40790833","11/3/2022 12:00:00 AM","","0","0",""
"6918","11/9/2022 12:00:00 AM","","","","","0","0",""
"6919","11/13/2022 12:00:00 AM","","","","","0","0",""
"6920","11/13/2022 12:00:00 AM","","","","","0","0",""
"6921","11/14/2022 12:00:00 AM","","","","","0","0",""
"6922","11/13/2022 12:00:00 AM","","","","","0","0",""
"6923","11/3/2022 12:00:00 AM","","","","","0","0",""
"6924","11/16/2022 12:00:00 AM","","","","","0","0",""
"6925","11/18/2022 12:00:00 AM","","","","","0","0",""
"6926","11/18/2022 12:00:00 AM","","","","","0","0",""
"6927","11/19/2022 12:00:00 AM","","","","","0","0",""
"6928","11/22/2022 12:00:00 AM","","","","","0","0",""
"6929","11/25/2022 12:00:00 AM","","","","","0","0",""
"6930","11/25/2022 12:00:00 AM","","","","","0","0",""
"6931","11/30/2022 12:00:00 AM","","","","","0","0",""
"6932","12/1/2022 12:00:00 AM","","","","","0","0",""
"6933","12/1/2022 12:00:00 AM","","","","","0","0",""
"6934","12/2/2022 12:00:00 AM","","","","","0","0",""
"6935","12/2/2022 12:00:00 AM","","","","","0","0",""
"6936","11/30/2022 12:00:00 AM","","","","","0","0",""
"6937","11/11/2022 12:00:00 AM","","","","","0","0",""
"6938","11/14/2022 12:00:00 AM","","","","","0","0",""
"6939","11/16/2022 12:00:00 AM","","","","","0","0",""
"6940","12/1/2022 12:00:00 AM","","","","","0","0",""
"6941","12/4/2022 12:00:00 AM","","","","","0","0",""
"6942","11/30/2022 12:00:00 AM","","","","","0","0",""
"6943","12/4/2022 12:00:00 AM","","","","","0","0",""
"6944","12/4/2022 12:00:00 AM","","","","","0","0",""
"6945","12/5/2022 12:00:00 AM","","81645432","12/5/2022 12:00:00 AM","","0","0",""
"6946","12/4/2022 12:00:00 AM","","","","","0","0",""
"6947","12/5/2022 12:00:00 AM","","63096597","12/5/2022 12:00:00 AM","","0","0",""
"6948","12/6/2022 12:00:00 AM","","","","","0","0",""
"6949","12/6/2022 12:00:00 AM","","","","","0","0",""
"6950","12/6/2022 12:00:00 AM","","","","","0","0",""
"6951","12/12/2022 12:00:00 AM","","","","","0","0",""
"6952","12/13/2022 12:00:00 AM","","","","","0","0",""
"6953","12/16/2022 12:00:00 AM","","","","","0","0",""
"6954","12/16/2022 12:00:00 AM","","","","","0","0",""
"6955","12/19/2022 12:00:00 AM","","","","","0","0",""
"6957","12/20/2022 12:00:00 AM","","40790834","12/20/2022 12:00:00 AM","","0","0",""
"6958","12/20/2022 12:00:00 AM","","","","","0","0",""
"6959","12/21/2022 12:00:00 AM","","81645433","12/21/2022 12:00:00 AM","","0","0",""
"6960","12/22/2022 12:00:00 AM","","","","","0","0",""
"6961","12/26/2022 12:00:00 AM","","","","","0","0",""
"6962","12/26/2022 12:00:00 AM","","","","","0","0",""
"6963","12/25/2022 12:00:00 AM","","","","","0","0",""
"6964","12/25/2022 12:00:00 AM","","","","","0","0",""
"6965","12/26/2022 12:00:00 AM","","81645434","12/26/2022 12:00:00 AM","","0","0",""
"6966","12/26/2022 12:00:00 AM","","","","","0","0",""
"6967","12/27/2022 12:00:00 AM","","","","","0","0",""
"6968","12/29/2022 12:00:00 AM","","08748004","12/29/2022 12:00:00 AM","","0","0",""
"6969","12/29/2022 12:00:00 AM","","","","","0","0",""
"6970","12/29/2022 12:00:00 AM","","40790835","12/29/2022 12:00:00 AM","","0","0",""
"6971","12/29/2022 12:00:00 AM","","","","","0","0",""
"6972","1/1/2023 12:00:00 AM","","","","","0","0",""
"6973","1/1/2023 12:00:00 AM","","","","","0","0",""
"6974","1/1/2023 12:00:00 AM","","","","","0","0",""
"6975","1/3/2023 12:00:00 AM","","","","","0","0",""
"6976","1/1/2023 12:00:00 AM","","","","","0","0",""
"6977","12/31/2022 12:00:00 AM","","","","","0","0",""
"6978","12/31/2022 12:00:00 AM","","","","","0","0",""
"6979","1/1/2023 12:00:00 AM","","","","","0","0",""
"6980","12/30/2022 12:00:00 AM","","","","","0","0",""
"6981","12/30/2022 12:00:00 AM","","","","","0","0",""
"6982","1/1/2023 12:00:00 AM","","","","","0","0",""
"6983","1/2/2023 12:00:00 AM","","","","","0","0",""
"6984","1/3/2023 12:00:00 AM","","81645435","1/3/2023 12:00:00 AM","","0","0",""
"6985","1/5/2023 12:00:00 AM","","","","","0","0",""
"6986","1/4/2023 12:00:00 AM","","","","","0","0",""
"6987","1/5/2023 12:00:00 AM","","","","","0","0",""
"6988","1/5/2023 12:00:00 AM","","","","","0","0",""
"6989","1/2/2023 12:00:00 AM","","","","","0","0",""
"6990","1/7/2023 12:00:00 AM","","","","","0","0",""
"6991","1/2/2023 12:00:00 AM","","","","","0","0",""
"6992","1/2/2023 12:00:00 AM","","","","","0","0",""
"6993","1/2/2023 12:00:00 AM","","","","","0","0",""
"6994","1/10/2023 12:00:00 AM","","","","","0","0",""
"6995","1/10/2023 12:00:00 AM","","","","","0","0",""
"6996","1/10/2023 12:00:00 AM","","40790836","1/11/2023 12:00:00 AM","","0","0",""
"6997","1/10/2023 12:00:00 AM","","","","","0","0",""
"6998","1/10/2023 12:00:00 AM","","40790836","1/11/2023 12:00:00 AM","","0","0",""
"6999","1/10/2023 12:00:00 AM","","","","","0","0",""
"7000","1/12/2023 12:00:00 AM","","","","","0","0",""
"7001","1/15/2023 12:00:00 AM","","","","","0","0",""
"7002","1/17/2023 12:00:00 AM","","","","","0","0",""
